# Peakfit fitted function data
# Source: E:/VS_CODE/PCM_Fano/10nm_5L_norm.txt
# Parameters:
# iC=171400.0
# iD=100000.0
# ib=-0.08120321269540899
# ig0=4.359177827562733
# iq=-38.502211192429684
# ia=0.5431
# iL=12.0986
# N=4.299432080128154e-09
# y0=0.005073953459880232
#
# iw	y_model	y	residual
463.6731	0.011249992640021352	0.01456	0.003310007359978648
464.5182	0.011235763140629462	0.01605	0.004814236859370536
465.3631	0.011216163959470744	0.01486	0.0036438360405292563
466.2079	0.011272314915840149	0.01426	0.0029876850841598513
467.0525	0.011446597123466688	0.01753	0.006083402876533313
467.8969	0.011714738499258392	0.01575	0.004035261500741608
468.7413	0.011996879259018428	0.01634	0.004343120740981572
469.5854	0.01220374796047901	0.01575	0.0035462520395209904
470.4294	0.01229278130535633	0.01694	0.0046472186946436705
471.2733	0.01229830563908808	0.01634	0.00404169436091192
472.117	0.012314694746883546	0.01694	0.004625305253116455
472.9606	0.012438745478103308	0.01605	0.0036112545218966903
473.804	0.01270578108716473	0.01724	0.004534218912835269
474.6473	0.013062041380999813	0.01605	0.002987958619000185
475.4904	0.013395544331378934	0.01694	0.0035444556686210667
476.3334	0.013610211250258127	0.01724	0.003629788749741871
477.1762	0.013694988741664176	0.01724	0.003545011258335822
478.0189	0.013738472959078252	0.01724	0.003501527040921746
478.8614	0.013872354137083296	0.01813	0.004257645862916704
479.7037	0.014178030484230641	0.01932	0.005141969515769359
480.546	0.014622528270899503	0.01902	0.004397471729100495
481.388	0.015075297908346278	0.01961	0.004534702091653721
482.2299	0.015403139530124841	0.01902	0.0036168604698751574
483.0717	0.015575781972912277	0.01872	0.0031442180270877234
483.9133	0.015699700367888748	0.02318	0.0074802996321112515
484.7548	0.01594335594867114	0.02229	0.00634664405132886
485.5961	0.01640305998211085	0.0214	0.00499694001788915
486.4373	0.017016584662302506	0.02288	0.005863415337697495
487.2783	0.017605063094556776	0.02288	0.005274936905443225
488.1192	0.01802328481183309	0.02318	0.005156715188166908
488.9599	0.01829597304768392	0.02318	0.00488402695231608
489.8004	0.018613035367168095	0.02556	0.006946964632831905
490.6409	0.01916860771527844	0.02526	0.00609139228472156
491.4811	0.019977259547934664	0.02793	0.007952740452065336
492.3213	0.020847144879833558	0.02764	0.006792855120166443
493.1612	0.02155791911594134	0.02734	0.005782080884058658
494.001	0.022092500691436284	0.02942	0.0073274993085637175
494.8407	0.022681418283038546	0.0321	0.00941858171696145
495.6802	0.02358441603498968	0.0315	0.007915583965010319
496.5196	0.024811870167573156	0.0312	0.006388129832426842
497.3588	0.026097218846572796	0.03447	0.008372781153427204
498.1979	0.027196462637272004	0.03388	0.006683537362727997
499.0368	0.028203353701947098	0.03269	0.004486646298052899
499.8756	0.0294882118037035	0.03655	0.007061788196296499
500.7142	0.03127179304026845	0.03536	0.004088206959731555
501.5527	0.033342555583276125	0.03626	0.002917444416723876
502.391	0.03533592918653119	0.03655	0.0012140708134688108
503.2292	0.03728509865305501	0.04487	0.007584901346944992
504.0672	0.039674672838803056	0.03744	-0.002234672838803055
504.9051	0.042821076396632435	0.0425	-0.00032107639663243176
505.7428	0.046441497851082036	0.04666	0.00021850214891796366
506.5804	0.05018219975863953	0.04666	-0.00352219975863953
507.4178	0.054389784556633985	0.05171	-0.0026797845566339865
508.2551	0.05978674137439666	0.05765	-0.002136741374396657
509.0923	0.06645027839886632	0.06092	-0.0055302783988663146
509.9292	0.07401729886530997	0.06776	-0.006257298865309971
510.7661	0.08300057440943256	0.074	-0.009000574409432568
511.6028	0.09460915264290419	0.08351	-0.01109915264290419
512.4393	0.10931278100616662	0.09718	-0.012132781006166618
513.2757	0.12760454133521665	0.11174	-0.015864541335216642
514.1119	0.15172657417877083	0.13224	-0.019486574178770838
514.948	0.18443143671575155	0.16731	-0.01712143671575156
515.7839	0.2289899893341154	0.211	-0.017989989334115414
516.6198	0.29228811008221844	0.27459	-0.017698110082218443
517.4554	0.3843427761157505	0.37593	-0.008412776115750531
518.2909	0.5191036357891599	0.52422	0.005116364210840163
519.1262	0.7082905638382304	0.73432	0.02602943616176956
519.9614	0.9233404948092573	0.94235	0.019009505190742737
520.7965	1.0286021771169027	1.0	-0.028602177116902716
521.6314	0.8941882437157306	0.88856	-0.005628243715730563
522.4661	0.6433764084295829	0.6636	0.020223591570417088
523.3007	0.43491192731446754	0.44844	0.013528072685532466
524.1352	0.2972901756574836	0.29926	0.001969824342516413
524.9695	0.21036163095220117	0.20446	-0.00590163095220117
525.8036	0.15448721669991688	0.15067	-0.0038172166999168866
526.6377	0.11732622711490545	0.10906	-0.008266227114905447
527.4716	0.09172527275496051	0.09034	-0.0013852727549605037
528.3052	0.0735064469692897	0.06865	-0.0048564469692896906
529.1388	0.06016031487577114	0.05944	-0.0007203148757711428
529.9722	0.05014102473101547	0.04785	-0.002291024731015473
530.8055	0.042455419960011544	0.04428	0.0018245800399884562
531.6386	0.03645005466561661	0.03863	0.0021799453343833847
532.4716	0.03168036816813526	0.03447	0.0027896318318647376
533.3044	0.027838379014603162	0.02883	0.0009916209853968391
534.1371	0.024704273226211375	0.02526	0.0005557267737886264
534.9696	0.022119385054463724	0.02437	0.0022506149455362758
535.802	0.019965997338851425	0.0214	0.0014340026611485736
536.6342	0.018156310119039044	0.01902	0.0008636898809609543
537.4663	0.016623084203776915	0.01991	0.0032869157962230854
538.2982	0.015314826991569578	0.01575	0.0004351730084304218
539.13	0.014191050284345013	0.01248	-0.0017110502843450132
539.9617	0.013219964107387717	0.01278	-0.0004399641073877178
540.7932	0.01237632724867385	0.01367	0.0012936727513261498
541.6245	0.011639726052497468	0.01248	0.000840273947502532
542.4557	0.010993532992158248	0.011	6.467007841751138e-06
543.2867	0.010424307165192699	0.00951	-0.0009143071651926994
